Title,Authors,Year,Publication,Citations,ScholarURL
Perceptions of Ecclesial Language among Catholic Young Adults in Rome: The Role of Religious Socialization,Claudio Tagliapietra,2026,"Review of Religious Research, 0034673X261450984, 2026",0,https://journals.sagepub.com/doi/abs/10.1177/0034673X261450984
"Doing Theology Creatively in a Scientific Age: Tradition, Reflexivity, and Second-Order Cybernetics",Claudio Tagliapietra,2026,"Religions 17 (2), 242, 2026",1,https://www.mdpi.com/2077-1444/17/2/242
Transforming the World: The Science and Theology of Human-Environment Complementarity,Claudio Tagliapietra and Ivan Colagè,2025,"Theology and Science 23 (4), 834-849, 2025",2,https://www.tandfonline.com/doi/abs/10.1080/14746700.2025.2526074
Automated Text Analysis in Theology: An Application,Claudio Tagliapietra,2025,"Theology and Science 23 (1), 55-71, 2025",2,https://www.tandfonline.com/doi/abs/10.1080/14746700.2024.2436780
"Theology, the Sciences and the Human Quest for Interdisciplinarity: Introduction: Essays in Honor of Giuseppe Tanzella-Nitti",Claudio Tagliapietra and Ivan Colagè and Salvatore L Guglielmino and Marco Vanzini,2024,"Annales theologici 38 (2), 347-356, 2024",0,https://www.annalestheologici.it/article/download/4843/2673
The Humanistic Dimensions of Scientific Research,Claudio Tagliapietra,2024,"Annales theologici 38 (2), 553-567, 2024",0,https://www.annalestheologici.it/article/view/4850
Sulla nozione di certezza in Wittgenstein e Newman,Stefano Oliva and Claudio Tagliapietra,2024,"Scienze Religiose e Formazione 1 (1), 53-69, 2024",0,
Por una recuperación de la teología de las realidades terrenas,Claudio Tagliapietra,2024,"Scripta Theologica 56 (1), 161-194, 2024",1,https://www.researchgate.net/profile/Claudio-Tagliapietra/publication/377858978_Por_una_recuperacion_de_la_teologia_de_las_realidades_terrenas/links/65cdd2d81bed776ae3610a62/Por-una-recuperacion-de-la-teologia-de-las-realidades-terrenas.pdf
L'altro Gesù. Un itinerario cristologico attraverso gli apocrifi,Massimiliano Nastasi and Claudio Tagliapietra,2024,"ISBN: 979-12-81553-25-5, 2024",0,
"Giuseppe Tanzella-Nitti, Scientist and Theologian: A Bibliography 1980-2024, Briefly Commented by the Guest Editors",Claudio Tagliapietra and Ivan Colagè and Salvatore L Guglielmino and Marco Vanzini,2024,"Annales theologici 38 (2), 667-682, 2024",0,https://www.annalestheologici.it/article/download/4856/2687
"Cosmo, eucaristia e attività umana. Riflessioni teologiche a partire da “La Messa sul Mondo” di Teilhard de Chardin",Claudio Tagliapietra and Giovanni Zaccaria and José Luis Gutiérrez,2024,"Annales theologici 38 (1), 177-197, 2024",1,https://www.annalestheologici.it/article/view/4680
Grasping abstract notions via embodied language in Mark's Gospel,Claudio Tagliapietra and Ivan Colagè and Giovanni Buccino,2023,"Rivista Italiana di Filosofia del Linguaggio 17 (1), 2023",0,https://rifl.unical.it/index.php/rifl/article/download/750/727
