Title,Authors,Year,Publication,Citations,ScholarURL
When is volatility fair? Hölder regularity and financial risk,Sergio Bianchi and Daniele Angelini,2026,"Applied Mathematics and Computation 531, 130223, 2026",1,https://www.sciencedirect.com/science/article/pii/S0096300326002754
Integrating the implied regularity (Ht) into implied volatility models: A study on free arbitrage model,Fabrizio Di Sciorio and Daniele Angelini,2026,"Journal of Economic Analysis 5 (2), 136, 2026",0,
Fair volatility in a multifractional world: a new equilibrium benchmark for financial markets,Daniele Angelini,2026,"Università degli Studi di Roma"" La Sapienza"", 2026",0,https://iris.uniroma1.it/handle/11573/1761137
(In) Efficient Market States and Rough Volatility Detected via Grunwald-Letnikov Fractional Derivative,Daniele Angelini,2026,"arXiv preprint arXiv:2606.27932, 2026",0,https://arxiv.org/abs/2606.27932
Roughness Analysis of Realized Volatility and VIX through Randomized Kolmogorov-Smirnov Distribution,Sergio Bianchi and Daniele Angelini,2025,"arXiv preprint arXiv:2509.20015, 2025",1,https://arxiv.org/abs/2509.20015
Kolmogorov-Smirnov Estimation of Self-Similarity in Long-Range Dependent Fractional Processes,Daniele Angelini and Sergio Bianchi,2025,"Physica D: Nonlinear Phenomena 476, 134697, 2025",4,https://www.sciencedirect.com/science/article/pii/S0167278925001745
Integrating the implied regularity into implied volatility models: A study on free arbitrage model,Daniele Angelini and Fabrizio Di Sciorio,2025,,1,https://arxiv.org/abs/2502.07518
From fair price to fair volatility: Towards an Efficiency-Consistent Definition of Financial Risk,Sergio Bianchi and Daniele Angelini and Massimiliano Frezza and Augusto Pianese,2025,"arXiv preprint arXiv:2508.11649, 2025",2,https://arxiv.org/abs/2508.11649
Fair Volatility: A Framework for Reconceptualizing Financial Risk,Sergio Bianchi and Daniele Angelini,2025,"arXiv preprint arXiv:2509.18837, 2025",2,https://arxiv.org/abs/2509.18837
A new tool to detect financial data scaling,Sergio Bianchi and Augusto Pianese and Massimiliano Frezza and Daniele Angelini,2025,"Frontiers in Applied Mathematics and Statistics 11, 1527750, 2025",0,https://www.frontiersin.org/journals/applied-mathematics-and-statistics/articles/10.3389/fams.2025.1527750/full
Market information of the fractional stochastic regularity model,Daniele Angelini and Matthieu Garcin,2024,"arXiv preprint arXiv:2409.07159, 2024",1,https://arxiv.org/abs/2409.07159
Fair Volatility in the Fractional Stochastic Regularity Model,Sergio Bianchi and Daniele Angelini and Massimiliano Frezza and Anna Maria Palazzo and Augusto Pianese,2024,"Mathematical and Statistical Methods for Actuarial Sciences and Finance, 61-66, 2024",0,https://link.springer.com/chapter/10.1007/978-3-031-64273-9_11
Rough volatility via the Lamperti transform,Sergio Bianchi and Daniele Angelini and Augusto Pianese and Massimiliano Frezza,2023,"Communications in nonlinear science and numerical simulation 127, 107582, 2023",15,https://www.sciencedirect.com/science/article/pii/S1007570423005038
Nonlinear biases in the roughness of a fractional stochastic regularity model,Daniele Angelini and Sergio Bianchi,2023,"Chaos, Solitons & Fractals 172, 113550, 2023",18,https://www.sciencedirect.com/science/article/pii/S0960077923004514
Roughness in VIX Index and in Realized Volatility: Rolling Window Estimation by Randomized Kolmogorov-Smirnov,Sergio Bianchi and Daniele Angelini,,"New Perspectives in Mathematical and Statistical Methods for Actuarial …, 0",0,https://books.google.com/books?hl=en&lr=&id=p5ylEQAAQBAJ&oi=fnd&pg=PA61&dq=info:xfGk0LLjHPMJ:scholar.google.com&ots=gff6TvQ9eV&sig=KJIv12CMWlf0zLyYWrUNqRttGS8
