Title,Authors,Year,Publication,Citations,ScholarURL
From number sense to number symbols. An archaeological perspective,,2018,"Philosophical Transactions of the Royal Society B: Biological Sciences 373 …, 2018",141,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12044890066533453674
Grounding meaning in experience: A broad perspective on embodied language,,2016,"Neuroscience & Biobehavioral Reviews 69, 69-78, 2016",141,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16694892818688411306
Culture: The driving force of human cognition,,2018,"Topics in Cognitive Science 12 (2), 654-672, 2018",138,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4914938933370371554,15737903918069806240"
Cultural exaptation and cultural neural reuse: A mechanism for the emergence of modern culture and behavior,,2018,"Biological Theory 13 (4), 213-227, 2018",87,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1801312086485362616
The concreteness of abstract language: an ancient issue and a new perspective,,2019,"Brain Structure and Function 224 (4), 1385-1401, 2019",51,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16864858385028411394
Extending epigenesis: from phenotypic plasticity to the bio-cultural feedback,,2017,"Biology & Philosophy 32 (5), 705-728, 2017",30,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3295729891972251336
"THE HUMAN BEING SHAPING AND TRANSCENDING ITSELF: WRITTEN LANGUAGE, BRAIN, AND CULTURE: with Paolo D ‘Ambrosio,“A Heuristic Science‐Based Naturalism as a Partner for Theological …",,2015,"Zygon® 50 (4), 1002-1021, 2015",22,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14637531046101207836
What processes sparked off symbolic representations? A reply to Hodgson and an alternative perspective,,2019,"Journal of Archaeological Science: Reports 28, 102043, 2019",21,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15968352553173410811
An empirically-based scenario for the evolution of cultural transmission in the human lineage during the last 3.3 million years,,2025,"Plos one 20 (6), e0325059, 2025",17,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16898548040245201280
Exaptation and Neural Reuse: A Research Perspective into Human Specificity.,,2014,"Antonianum, 333-358, 2014",17,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8164905386775259328
Prospective Fruitfulness as a Criterion for Theory-Change and Research-Strategy Option.,,2014,"Comprendre: revista catalana de filosofia 16 (1), 61-86, 2014",11,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13727862850351467717
Integrated cognitive strategies in a changing world,,2011,"G&B press, 2011",11,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4211381225914207005
Cultural Influences on the Brain: Science and Theology on Human Specificity,,2015,"Open Theology 1 (1), 354-365, 2015",10,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5974671678079576924
Human specificity: recent neuro-scientific advances and new perspectives,,2013,"ESSSAT News and Reviews 23 (2), 5-19, 2013",10,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11495817866850087844
Brains top down: is top-down causation challenging neuroscience?,,2013,"World Scientific, 2013",10,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10770364535513349214
Transcriptomic analysis of planarians under simulated microgravity or 8 g demonstrates that alteration of gravity induces genomic and cellular alterations that could facilitate …,,2019,"International journal of molecular sciences 20 (3), 720, 2019",9,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10356504048811197325
"Scaffolding minds: human collective intelligence through space, body and material symbols",,2026,"Philosophical Transactions Of The Royal Society B-Biological Sciences 381 (1948), 2026",7,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16177509981774500984
The Roots of Creativity: investing in Cultural Transmission,,2023,"Acta Philosophica 32 (1), 95-116, 2023",7,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3528073948725248893
The emergence of symbolic cognition,,2022,"The Routledge international handbook of neuroaesthetics, 539-554, 2022",7,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10589247778380350590
Grounding abstract concepts and beliefs into experience: the embodied perspective,,2022,"Frontiers in Psychology, 4416, 2022",7,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14673967431237579622
"The cultural evolution of language and brain: Comment on"" Towards a Computational Comparative Neuroprimatology: Framing the language-ready brain"" by Michael A. Arbib",,2016,"Physics of Life Reviews 16, 61-62, 2016",7,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14282488707279019815
"Sociality, Brain, Evolution and Culture: The Human Specificity and the Imago Dei Doctrine: Towards a Working Conceptual Framework",,2015,"in Studies in Science and Theology 15, 2015",7,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3519837334638837908
A critical assessment of transhumanism,,2013,"Acta Philosophica 22 (2), 327-348, 2013",7,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2738160583536550849
"Human specificity and recent science: communication, language, culture",,2015,"ESSSAT News and Reviews 25 (2), 5-26, 2015",6,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11507182415493001782
The game of life implies both teleonomy and teleology,,2015,"Darwin in the twenty-first century: nature, humanity and God. University of …, 2015",6,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4861051952614728408
Space Research Program on Planarian Schmidtea Mediterranea’s Establishment of the Anterior-Posterior Axis in Altered Gravity Conditions,,2012,"Microgravity Science and Technology 24 (6), 419-425, 2012",6,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12898824749382018043
Interazione e inferenza: epistemologia scientifica ispirata al pensiero di Ch. S. Peirce,,2010,"Gregorian & Biblical Press, 2010",5,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16875672585031246555
Il linguaggio e l'esperienza: Dalle neuroscienze all'ambiente naturale e culturale.,,2016,"Antonianum, 1047-1058, 2016",4,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4117896465700825531,14245277603880838349"
Philosophy of language,,2013,"Encyclopedia of Sciences and Religions, 1675-1684, 2013",4,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4166865962618260678
Pedagogical ecology for an alternative sustainability: With Insights from Francis of assisi and contemporary life sciences,,2022,"Sustainability 14 (3), 1395, 2022",3,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1382019450320794783
Creditions and Self-Identity: Embodiment Between Actions and (Life) Decisions,,2017,"Processes of Believing: The Acquisition, Maintenance, and Change in …, 2017",3,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14350072453933651337
Le scienze naturali e la filosofia della natura: alcune riflessioni epistemologiche,,2013,"Si può parlare oggi di una finalità dell'evoluzione?, 59-79, 2013",3,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1431362835946546983
Consciousness and the Global Neuronal Workspace Hypothesis: From Bottom-up to Top-down Causation and vice versa,,2013,"Brains Top Down: Is Top-down Causation Challenging Neuroscience?, 235-272, 2013",3,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7516464645923305034
Proximate–Ultimate Causation in Human Evolution? Implications from Archeology,,2026,"The Field of Human Evolution: Critical Perspectives from History and …, 2026",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6172935569949417040
Transforming the World: The Science and Theology of Human-Environment Complementarity,,2025,"Theology and Science 23 (4), 834-849, 2025",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13271145651187087349
"Rewriting the environment, remaking humanity: niche construction, creativity, and cultural evolution",,2024,"Versus 53 (1), 25-38, 2024",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3306751691410325008
Theology Looking at Culture through the Lenses of Science,,2017,"Issues in Science and Theology: Are We Special? Human Uniqueness in Science …, 2017",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17644298014600447581
New Concepts on the Motor System: Implications for Emotions and Credition,,2017,"Processes of Believing: The Acquisition, Maintenance, and Change in …, 2017",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11002446253462027224
The cultural evolution of language: Insights from recent hypothesis,,2016,"ESSSAT News and Reviews 26 (2), 5-18, 2016",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7307283776684758725
