Title,Authors,Year,Publication,Citations,ScholarURL
"La chiave musicale di Wittgenstein: tautologia, gesto, atmosfera",,2016,,16,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17724427742362482539,9090012158331210255"
Eco and Berio between Music and Open Work,,2021,"Rivista di estetica, 146-161, 2021",7,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=770636329600975264
Risonanze della teoria della formatività di Luigi Pareyson nell’estetica musicale contemporanea,,2018,"Revista portuguesa de filosofía 74 (4), 1077-1092, 2018",7,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5222618832636863069
Luciano Berio and the problem of musical language,,2020,"Rivista italiana di filosofia del linguaggio 14 (1), 2020",5,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1465887030650042526
"Music and Language? Deleuze, Guattari and Berio on Visage",,2019,"La Deleuziana, special issue Rhythm, Chaos And Nonpulsed Man, ed. by …, 2019",4,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4755442113012700327
Dal nonsenso al gesto: Wittgenstein e il giudizio di valore,,2017,"Rivista di estetica, 143-154, 2017",4,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2222021583640442602
The Auditory Object,,2017,"RIVISTA DI FILOSOFIA 66, 1-223, 2017",4,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11395575757066142131
Il sentimento è un’atmosfera? Il paradigma musicale del “terzo” Wittgenstein,,2016,"De Musica, 2016",4,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3551456655937288190
"Wittgenstein and Aesthetics. Perspectives and Debates, Alessandro Arbo, Michel Le Du, Sabine Plaud eds. Ontos Verlag, Heusentstamm, 2012",,2014,"Philosophical Inquiries, 2014",4,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13655940306960361762
Il mistico: sentimento del mondo e limiti del linguaggio,,2021,"Mimesis, 2021",3,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4970269255644056841
Is music a metalanguage? Some remarks on Wittgenstein and Berio,,2021,"Intersezioni 41 (1), 85-102, 2021",3,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2761225497730120169
"Politics, Ontology, Language. Giorgio Agamben and the Presupposing Apparatus",,2015,"Rivista Italiana di Filosofia del Linguaggio 9 (1), 2015",3,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4781759481717165218
"Rewriting the environment, remaking humanity: niche construction, creativity, and cultural evolution",,2024,"Versus 53 (1), 25-38, 2024",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3306751691410325008
Nel grembo del linguaggio: per un’estetica del gesto supplementare,,2018,"Lebenswelt. Aesthetics and philosophy of experience., 2018",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5727546344694355438
"Domande scientifiche e pulsione mistica. Wittgenstein, Freud e Lacan al di là del principio di piacere",,2017,"Studi di estetica, 2017",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1863859576559205033
Come un che di animale»: Wittgenstein etologo,,2015,"Lo Sguardo, 2015",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14941609436743499065
La musica nell’estetica di Pareyson,,2013,"il glifo ebooks, 2013",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2003371335417597619
Il dibattito sul Nuovo Realismo: accordo e disaccordo sullo ‘strato di roccia’,,2012,"Rivista italiana di filosofia del linguaggio 6 (3), 53-65, 2012",2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6944336754090973313
Sensus communis. An Aesthetic «Precursor» for Embodied Language and Cognition,,2023,"Reti, saperi, linguaggi 10 (1), 67-84, 2023",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11458262746141242426
Alea. Pratiche artistiche e modi di soggettivazione,,2021,"Philosophy Kitchen. Rivista di filosofia contemporanea, 2021",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14375874170307880471
The circular insanity of philosophy: an aesthetic vision,,2021,"Lebenswelt. Aesthetics and philosophy of experience., 2021",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17758493281119268393
Didattica interdisciplinare e integrazione tra cultura umanistica e sapere scientifico. La piattaforma DISF Educational per le Scuole secondarie di secondo grado,,2021,"QuaderniCIRD. Rivista del Centro Interdipartimentale per la Ricerca …, 2021",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5722449349334393749
Insights into the aesthetic experience through an embodied approach to Wittgenstein’s hearing-as,,2020,"Reti, saperi, linguaggi 7 (2), 277-292, 2020",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4686944581190842303
Fra l’occhio e l’orecchio: la questione della forma in Luciano Berio e Paul Klee,,2019,"B@ belonline, 2019",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3929188253040043861
Sentimento mistico e melanconia: due casi di visione aspettuale,,2018,"Lebenswelt. Aesthetics and philosophy of experience., 2018",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10733355925185220156
"Mistica, estetica e realismo. Simone Weil su bellezza e sentimento di realtà",,2018,"estetica. studi e ricerche 8 (1), 97-108, 2018",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4468952439263174212
Wittgenstein tra logica ed esperienza,,2017,"Soglie del linguaggio. Corpo, mondi, Società 1, 193, 2017",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10483203926624513818
"Grammatica della musica, grammatica della percezione",,2016,"il glifo ebooks, 2016",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11236632400993905217
"Tautologia, gesto, atmosfera. Il rapporto tra musica e linguaggio nella riflessione di Ludwig Wittgenstein",,2015,"Università degli studi Roma Tre, 2015",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4904427885102435010
Reality. La realtà tra filosofia e scienze,,2015,"GoWare, 2015",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18347811396595329872
Benjamin e Wittgenstein sul concetto di affinità,,2014,"Rivista Italiana di Filosofia del Linguaggio 8 (2), 2014",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14704097522189264782
"Linguaggio, azione e musica: Lacan e il gesto originario",,2012,"Rivista Italiana di Filosofia del Linguaggio 5, 137-149, 2012",1,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3109054597893039142
Creazione artistica e decreazione,,2026,,0,
